Season,Week,GameStatus,GameSlot,GameDate,AwayTeam,AwayScore,HomeTeam,HomeScore
2013,HALL OF FAME,FINAL,Sunday,August 4th,MIA,20.0,DAL,24.0
2013,PRESEASON WEEK 1,FINAL,Thursday,August 8th,BAL,44.0,TB,16.0
2013,PRESEASON WEEK 1,FINAL,Thursday,August 8th,WAS,22.0,TEN,21.0
2013,PRESEASON WEEK 1,FINAL,Thursday,August 8th,STL,19.0,CLE,27.0
2013,PRESEASON WEEK 1,FINAL,Thursday,August 8th,CIN,34.0,ATL,10.0
2013,PRESEASON WEEK 1,FINAL,Thursday,August 8th,DEN,10.0,SF,6.0
2013,PRESEASON WEEK 1,FINAL,Thursday,August 8th,SEA,31.0,SD,10.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,MIA,27.0,JAC,3.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,NYJ,17.0,DET,26.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,NE,31.0,PHI,22.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,ARI,17.0,GB,0.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,CHI,17.0,CAR,24.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,KC,13.0,NO,17.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,HOU,27.0,MIN,13.0
2013,PRESEASON WEEK 1,FINAL,Friday,August 9th,DAL,17.0,OAK,19.0
2013,PRESEASON WEEK 1,FINAL,Saturday,August 10th,NYG,18.0,PIT,13.0
2013,PRESEASON WEEK 1,FINAL,Sunday,August 11th,BUF,44.0,IND,20.0
2013,PRESEASON WEEK 2,FINAL,Thursday,August 15th,CAR,9.0,PHI,14.0
2013,PRESEASON WEEK 2,FINAL,Thursday,August 15th,ATL,23.0,BAL,27.0
2013,PRESEASON WEEK 2,FINAL,Thursday,August 15th,DET,6.0,CLE,24.0
2013,PRESEASON WEEK 2,FINAL,Thursday,August 15th,SD,28.0,CHI,33.0
2013,PRESEASON WEEK 2,FINAL,Friday,August 16th,MIN,16.0,BUF,20.0
2013,PRESEASON WEEK 2,FINAL,Friday,August 16th,TB,21.0,NE,25.0
2013,PRESEASON WEEK 2,FINAL,Friday,August 16th,OAK,20.0,NO,28.0
2013,PRESEASON WEEK 2,FINAL,Friday,August 16th,SF,15.0,KC,13.0
2013,PRESEASON WEEK 2,FINAL,Saturday,August 17th,DAL,7.0,ARI,12.0
2013,PRESEASON WEEK 2,FINAL,Saturday,August 17th,TEN,19.0,CIN,27.0
2013,PRESEASON WEEK 2,FINAL,Saturday,August 17th,JAC,13.0,NYJ,37.0
2013,PRESEASON WEEK 2,FINAL,Saturday,August 17th,MIA,17.0,HOU,24.0
2013,PRESEASON WEEK 2,FINAL,Saturday,August 17th,GB,19.0,STL,7.0
2013,PRESEASON WEEK 2,FINAL,Saturday,August 17th,DEN,10.0,SEA,40.0
2013,PRESEASON WEEK 2,FINAL,Sunday,August 18th,IND,20.0,NYG,12.0
2013,PRESEASON WEEK 2,FINAL,Monday,August 19th,PIT,13.0,WAS,24.0
2013,PRESEASON WEEK 3,FINAL,Thursday,August 22nd,NE,9.0,DET,40.0
2013,PRESEASON WEEK 3,FINAL,Thursday,August 22nd,CAR,34.0,BAL,27.0
2013,PRESEASON WEEK 3,FINAL,Friday,August 23rd,SEA,17.0,GB,10.0
2013,PRESEASON WEEK 3,FINAL,Friday,August 23rd,CHI,34.0,OAK,26.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,BUF,7.0,WAS,30.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,NYJ,24.0,NYG,21.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,CLE,6.0,IND,27.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,TB,17.0,MIA,16.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,PHI,31.0,JAC,24.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,KC,26.0,PIT,20.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,ATL,16.0,TEN,27.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,STL,26.0,DEN,27.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,CIN,18.0,DAL,24.0
2013,PRESEASON WEEK 3,FINAL,Saturday,August 24th,SD,24.0,ARI,7.0
2013,PRESEASON WEEK 3,FINAL,Sunday,August 25th,NO,31.0,HOU,23.0
2013,PRESEASON WEEK 3,FINAL,Sunday,August 25th,MIN,14.0,SF,34.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,PHI,20.0,NYJ,27.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,DET,35.0,BUF,13.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,IND,10.0,CIN,27.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,NO,21.0,MIA,24.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,WAS,30.0,TB,12.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,PIT,10.0,CAR,25.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,JAC,20.0,ATL,16.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,NYG,20.0,NE,28.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,TEN,23.0,MIN,24.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,BAL,21.0,STL,24.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,CLE,18.0,CHI,16.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,GB,8.0,KC,30.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,HOU,24.0,DAL,6.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,ARI,32.0,DEN,24.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,SF,41.0,SD,6.0
2013,PRESEASON WEEK 4,FINAL,Thursday,August 29th,OAK,6.0,SEA,22.0
2013,WEEK 1,FINAL,Thursday,September 5th,BAL,27.0,DEN,49.0
