Season,Week,GameStatus,GameSlot,GameDate,AwayTeam,AwayScore,HomeTeam,HomeScore
2022,HALL OF FAME,FINAL,Thursday,August 4th,JAX,11.0,LV,27.0
2022,PRESEASON WEEK 1,FINAL,Thursday,August 11th,NYG,23.0,NE,21.0
2022,PRESEASON WEEK 1,FINAL,Thursday,August 11th,TEN,10.0,BAL,23.0
2022,PRESEASON WEEK 1,FINAL,Friday,August 12th,ATL,27.0,DET,23.0
2022,PRESEASON WEEK 1,FINAL,Friday,August 12th,CLE,24.0,JAX,13.0
2022,PRESEASON WEEK 1,FINAL,Friday,August 12th,ARI,36.0,CIN,23.0
2022,PRESEASON WEEK 1,FINAL,Friday,August 12th,NYJ,24.0,PHI,21.0
2022,PRESEASON WEEK 1,FINAL,Friday,August 12th,GB,21.0,SF,28.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,CAR,23.0,WAS,21.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,KC,14.0,CHI,19.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,IND,24.0,BUF,27.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,SEA,25.0,PIT,32.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,MIA,26.0,TB,24.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,NO,13.0,HOU,17.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,DAL,7.0,DEN,17.0
2022,PRESEASON WEEK 1,FINAL,Saturday,August 13th,LAR,29.0,LAC,22.0
2022,PRESEASON WEEK 1,FINAL,Sunday,August 14th,MIN,20.0,LV,26.0
2022,PRESEASON WEEK 2,FINAL,Thursday,August 18th,CHI,27.0,SEA,11.0
2022,PRESEASON WEEK 2,FINAL,Friday,August 19th,CAR,10.0,NE,20.0
2022,PRESEASON WEEK 2,FINAL,Friday,August 19th,NO,10.0,GB,20.0
2022,PRESEASON WEEK 2,FINAL,Friday,August 19th,HOU,24.0,LAR,20.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,DET,27.0,IND,26.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,DEN,15.0,BUF,42.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,WAS,14.0,KC,24.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,TB,3.0,TEN,13.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,SF,17.0,MIN,7.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,PIT,16.0,JAX,15.0
2022,PRESEASON WEEK 2,FINAL,Saturday,August 20th,LV,15.0,MIA,13.0
