Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason?
2024,Week 1,UPCOMING,THU,09/05,Ravens,0-0,0.0,0.0,Chiefs,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,FRI,09/06,Packers,0-0,0.0,0.0,Eagles,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Steelers,0-0,0.0,0.0,Falcons,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Cardinals,0-0,0.0,0.0,Bills,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Titans,0-0,0.0,0.0,Bears,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Patriots,0-0,0.0,0.0,Bengals,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Texans,0-0,0.0,0.0,Colts,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Jaguars,0-0,0.0,0.0,Dolphins,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Panthers,0-0,0.0,0.0,Saints,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Vikings,0-0,0.0,0.0,Giants,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Raiders,0-0,0.0,0.0,Chargers,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Broncos,0-0,0.0,0.0,Seahawks,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Cowboys,0-0,0.0,0.0,Browns,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Commanders,0-0,0.0,0.0,Buccaneers,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,SUN,09/08,Rams,0-0,0.0,0.0,Lions,0-0,0.0,0.0,,,0
2024,Week 1,UPCOMING,MON,09/09,Jets,0-0,0.0,0.0,49ers,0-0,0.0,0.0,,,0
2024,Week 2,UPCOMING,THU,09/12,Bills,0-0,0.0,0.0,Dolphins,0-0,0.0,0.0,,,0
2024,Week 2,UPCOMING,SUN,09/15,Raiders,0-0,0.0,0.0,Ravens,0-0,0.0,0.0,,,0
2024,Week 2,UPCOMING,SUN,09/15,Chargers,0-0,0.0,0.0,Panthers,0-0,0.0,0.0,,,0
2024,Week 2,UPCOMING,SUN,09/15,Saints,0-0,0.0,0.0,Cowboys,0-0,0.0,0.0,,,0
2024,Week 2,UPCOMING,SUN,09/15,Buccaneers,0-0,0.0,0.0,Lions,0-0,0.0,0.0,,,0
2024,Week 2,UPCOMING,SUN,09/15,Colts,0-0,0.0,0.0,Packers,0-0,0.0,0.0,,,0
